Year,Category,Product,Sales,Rating
2017,Components,Chains,20000,0.75
2015,Clothing,Socks,3700,0.22
2017,Clothing,Bib-Shorts,4000,0.22
2015,Clothing,Shorts,13300,0.56
2017,Clothing,Tights,36000,1
2015,Components,Handlebars,2300,0.35
2016,Clothing,Socks,2300,0.28
2016,Components,Brakes,3400,0.36
2016,Bikes,Mountain Bikes,6300,0.4
2017,Components,Brakes,5400,0.38
2016,Accessories,Helmets,17000,0.9
2016,Accessories,Lights,21600,0.9
2016,Accessories,Locks,29800,0.9
2016,Components,Bottom Brackets,1000,0.23
2015,Clothing,Jerseys,6700,0.05
2017,Components,Bottom Brackets,600,0.27
2015,Bikes,Road Bikes,3500,0.5
2017,Clothing,Jerseys,7500,0.4
2017,Accessories,Tires and Tubes,63700,0.9
2017,Bikes,Cargo Bike,9300,0.6
2017,Bikes,Mountain Bikes,8500,0.46
2017,Accessories,Bike Racks,33700,0.92
2017,Clothing,Caps,600,0.15
2015,Bikes,Mountain Bikes,3100,0.35
2017,Accessories,Pumps,30700,0.95
2016,Accessories,Pumps,16400,0.8
2016,Accessories,Bike Racks,22100,0.9
2017,Accessories,Helmets,34000,0.95
2015,Accessories,Pumps,700,0.1
2015,Clothing,Tights,3300,0.3
2017,Bikes,Road Bikes,16900,0.65
2017,Accessories,Lights,36700,0.9
2015,Accessories,Helmets,8300,0.99
2016,Clothing,Bib-Shorts,2900,0.36
2015,Accessories,Tires and Tubes,8700,0.9
2017,Accessories,Locks,35000,1
2016,Bikes,Road Bikes,8300,0.46
2016,Components,Wheels,16700,0.75
2016,Bikes,Touring Bikes,1800,0.15
2017,Clothing,Socks,3700,0.48
2016,Clothing,Shorts,12000,0.66
2015,Accessories,Locks,10000,0.85
2015,Components,Bottom Brackets,500,0.35
2017,Components,Wheels,21800,0.96
2016,Components,Chains,16400,0.7
2016,Clothing,Caps,400,0.2
2015,Clothing,Vests,3300,0.36
2017,Components,Handlebars,5000,0.35
2016,Components,Handlebars,3300,0.38
2015,Components,Pedals,800,0.36
2016,Clothing,Gloves,15600,0.65
2016,Components,Pedals,1500,0.17
2017,Components,Pedals,6200,0.38
2017,Clothing,Gloves,27000,0.88
2016,Components,Saddles,2800,0.38
2016,Bikes,Cargo Bike,6700,0.46
2015,Clothing,Gloves,13300,0.5
2016,Accessories,Tires and Tubes,13800,0.85
2017,Clothing,Vests,2400,0.35
2015,Accessories,Bike Racks,300,0.05
2015,Components,Saddles,2100,0.49
2015,Components,Brakes,2300,0.34
2015,Components,Wheels,10000,0.66
2015,Bikes,Touring Bikes,500,0.22
2016,Clothing,Jerseys,3800,0.48
2015,Bikes,Cargo Bike,3200,0.48
2017,Clothing,Shorts,23000,1
2015,Clothing,Bib-Shorts,700,0.28
2015,Accessories,Lights,1300,0.9
2016,Clothing,Vests,1300,0.25
2016,Clothing,Tights,22100,0.99
2017,Components,Saddles,3100,0.42
2015,Clothing,Caps,500,0.5
2017,Bikes,Touring Bikes,3100,0.22
2015,Components,Chains,8700,0.92
